Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,MACD,MACD_signal,MACD_diff,bollinger_mavg,bollinger_hband,bollinger_lband
5/20/1996,67.65625,67.75,66.984375,67.640625,41.52499008178711,788500,,,,,,,,
5/21/1996,67.75,67.875,67.5,67.546875,41.46745300292969,352700,,,,,,,,
5/22/1996,67.625,68.1875,67.390625,68.1875,41.860721588134766,1218100,,,,,,,,
5/23/1996,68.28125,68.4375,67.53125,67.90625,41.68806076049805,967900,,,,,,,,
5/24/1996,67.96875,68.328125,67.9375,68.171875,41.85112380981445,659100,,,,,,,,
5/28/1996,68.375,68.375,67.3125,67.484375,41.429073333740234,456400,,,,,,,,
5/29/1996,67.625,67.6875,66.8125,67.03125,41.15090560913086,649600,,,,,,,,
5/30/1996,66.9375,67.71875,66.75,67.375,41.36191940307617,895800,,,,,,,,
5/31/1996,67.359375,67.640625,66.875,66.875,41.05497360229492,923500,,,,,,,,
6/3/1996,66.890625,67.109375,66.703125,67.0625,41.17007827758789,503100,,,,,,,,
6/4/1996,67.375,67.59375,67.25,67.53125,41.45783996582031,627100,,,,,,,,
6/5/1996,67.5625,68.203125,67.421875,68.125,41.82235336303711,428000,,,,,,,,
6/6/1996,68.5,68.5,67.5,67.625,41.51539993286133,523300,,,,,,,,
6/7/1996,66.1875,67.640625,66.1875,67.625,41.51539993286133,1422800,,50.53203510219918,,,,,,
6/10/1996,67.53125,67.734375,67.296875,67.40625,41.381107330322266,548800,,47.16377657101746,,,,,,
6/11/1996,67.65625,68.03125,67.34375,67.34375,41.34273910522461,688700,,46.21591091942046,,,,,,
6/12/1996,67.5625,67.734375,67.109375,67.21875,41.26599884033203,1120600,,44.29838693954695,,,,,,
6/13/1996,67.375,67.46875,66.828125,67.21875,41.26599884033203,1502000,,44.29838693954696,,,,,,
6/14/1996,67.25,67.25,66.71875,66.9375,41.09333038330078,1468200,,39.97081609108748,,,,,,
6/17/1996,66.96875,67.21875,66.71875,66.890625,41.06455993652344,1101000,67.46015625,39.28203115090305,,,,67.46015625,68.26002654,66.66028596
6/18/1996,66.84375,67.03125,66.328125,66.34375,40.728824615478516,718000,67.3953125,32.290836471299926,,,,67.3953125,68.32575993101102,66.46486506898898
6/19/1996,66.65625,67,66.421875,66.640625,40.91108703613281,552100,67.35,38.67182203759374,,,,67.35,68.33327815876281,66.36672184123718
6/20/1996,66.703125,66.921875,66.1875,66.59375,40.882320404052734,1234400,67.2703125,38.06188785103404,,,,67.2703125,68.22714953,66.31347547
6/21/1996,66.5625,66.8125,66.375,66.8125,41.23394012451172,573300,67.215625,42.61082355480854,,,,67.215625,68.14546873687195,66.28578126312806
6/24/1996,66.96875,67.21875,66.84375,66.9375,41.31107711791992,416500,67.15390625,45.092417887870226,,,,67.15390625,67.97971521654054,66.32809728345947
6/25/1996,67.125,67.171875,66.78125,66.859375,41.262855529785156,454400,67.12265625,43.817126604314744,-0.221964509,,,67.12265625,67.94336448787675,66.30194801212326
6/26/1996,66.78125,66.921875,66.390625,66.40625,40.98322677612305,838200,67.09140625,37.23881556308228,-0.248369363,,,67.09140625,67.96926291496231,66.21354959
6/27/1996,66.40625,67.046875,66.15625,66.875,41.27251052856445,1090500,67.06640625,46.23180188163204,-0.228833344,,,67.06640625,67.93899640248783,66.19381609751217
6/28/1996,67.15625,67.5,66.96875,67.109375,41.41715621948242,1060800,67.078125,50.08316551939855,-0.192222977,,,67.078125,67.94640275,66.20984725
7/1/1996,67.28125,67.703125,67.1875,67.6875,41.773948669433594,471300,67.109375,58.06280963227103,-0.115230833,,,67.109375,68.01723994039587,66.20151005960413
7/2/1996,67.625,67.640625,67.328125,67.4375,41.61967468261719,389400,67.1046875,54.03978199196493,-0.0735392,,,67.1046875,68.00472548,66.20464952337069
7/3/1996,67.40625,67.5,67.0625,67.296875,41.53288269042969,308300,67.06328125,51.86297653467953,-0.051254711,,,67.06328125,67.83941921242597,66.28714328757404
7/5/1996,66.125,66.4375,65.375,65.578125,40.47215270996094,842900,66.9609375,33.892908333952775,-0.170319516,,,66.9609375,67.9297127,65.9921623
7/8/1996,65.625,65.984375,65.125,65.3125,40.30820083618164,942000,66.8453125,32.044947465394415,-0.282852403,-0.179604144,-0.103248259,66.8453125,68.00303537945993,65.68758962054008
7/9/1996,65.609375,65.8125,65.375,65.578125,40.47215270996094,716300,66.75390625,35.813809319569756,-0.346606347,-0.213004585,-0.133601762,66.75390625,68.00495561422139,65.50285688577861
7/10/1996,65.5625,65.84375,64.921875,65.84375,40.636070251464844,1132300,66.67890625,39.43140989534956,-0.371416629,-0.244686994,-0.126729636,66.67890625,67.95903056494707,65.39878193505292
7/11/1996,65.5625,65.6875,63.875,64.515625,39.81641387939453,1587400,66.54375,30.250815722048984,-0.49256951,-0.294263497,-0.198306013,66.54375,68.10686237999704,64.98063762000297
7/12/1996,64.625,64.90625,64.078125,64.5625,39.84534836,1312000,66.4109375,30.862642209363727,-0.578137215,-0.35103824,-0.227098974,66.4109375,68.16213965405731,64.65973534594269
7/15/1996,64.71875,64.71875,62.65625,62.65625,38.66886520385742,1951300,66.196875,22.297015600520524,-0.790654508,-0.438961494,-0.351693014,66.196875,68.57332192766323,63.820428072336775
7/16/1996,62.84375,63.5,60.375,62.8125,38.765323638916016,4141000,65.99296875,24.155149418228746,-0.935681965,-0.538305588,-0.397376377,65.99296875,68.76347953,63.22245797029371
7/17/1996,63.75,64,63,63.5625,39.228172302246094,1340500,65.85390625,32.499152134155594,-0.978815364,-0.626407543,-0.35240782,65.85390625,68.81282541697952,62.894987083020474
7/18/1996,63.75,64.546875,63.328125,64.4375,39.768184661865234,1432500,65.74375,40.696280608078716,-0.931654176,-0.68745687,-0.244197306,65.74375,68.74110234728086,62.74639765271915
7/19/1996,64.28125,64.375,63.625,63.96875,39.47888946533203,1216000,65.6125,38.031772813292235,-0.921480548,-0.734261605,-0.187218943,65.6125,68.67857890370584,62.54642109629415
7/22/1996,63.53125,63.75,63.015625,63.5,39.189598083496094,519800,65.446875,35.526799819011075,-0.940401717,-0.775489628,-0.164912089,65.446875,68.59260933895014,62.301140661049864
7/23/1996,63.59375,63.9375,62.578125,62.6875,38.68814468383789,1479800,65.234375,31.637069445247306,-1.009323981,-0.822256498,-0.187067482,65.234375,68.51971471321842,61.94903528678158
7/24/1996,61.9375,63.1875,61.625,62.8125,38.765323638916016,2463400,65.03203125,32.85507130927647,-1.041849128,-0.866175024,-0.175674103,65.03203125,68.38980667,61.67425583
7/25/1996,63.4375,63.5625,63.125,63.375,39.11244583129883,1989800,64.88046875,38.19174853170301,-1.010587073,-0.895057434,-0.115529639,64.88046875,68.25007200175219,61.510865498247824
7/26/1996,63.5625,63.8125,63.390625,63.71875,39.32460403442383,642300,64.72265625,41.26406849900748,-0.947155696,-0.905477086,-0.04167861,64.72265625,67.99815530250618,61.44715719749382
